"Date","CasesNational","CasesCABA","CasesBuenosAires","CasesCatamarca","CasesChaco","CasesChubut","CasesCordoba","CasesCorrientes","CasesEntreRios","CasesFormosa","CasesJujuy","CasesLaPampa","CasesLaRioja","CasesMendoza","CasesMisiones","CasesNeuquen","CasesRioNegro","CasesSalta","CasesSanJuan","CasesSanLuis","CasesSantaCruz","CasesSantaFe","CasesSantiagoDelEstero","CasesTierraDelFuego","CasesTucuman"
"2020-08-14","282420","75596","175533","63","4328","390","4290","223","1465","78","4339","182","662","2910","56","1735","3653","927","22","34","957","2954","225","1263","535"
"2020-08-15","289083","76511","179971","63","4368","394","4451","225","1529","79","4496","183","717","3120","59","1807","3768","993","22","34","995","3133","251","1351","563"
"2020-08-16","294540","77473","183086","63","4436","403","4592","228","1631","80","4768","184","751","3330","59","1834","3854","1085","22","34","1037","3293","284","1408","605"
"2020-08-17","299108","78193","185612","65","4504","417","4763","230","1704","80","5010","185","796","3499","55","1898","3936","1173","22","34","1070","3432","328","1467","635"
"2020-08-18","305962","79250","190197","64","4549","424","4991","233","1750","79","5227","184","851","3623","55","1911","4074","1287","22","36","1089","3561","338","1489","678"
"2020-08-19","312655","80344","194500","63","4606","437","5091","236","1810","79","5360","186","905","3773","55","1961","4168","1401","22","36","1145","3763","379","1553","782"
"2020-08-20","320880","81624","199745","64","4701","455","5272","239","1861","80","5624","187","927","4040","53","2020","4329","1500","35","39","1178","4053","417","1600","837"
"2020-08-21","329039","82803","205067","63","4756","474","5454","243","1997","79","5874","187","978","4252","58","2067","4466","1590","36","39","1246","4315","455","1636","904"
"2020-08-22","336798","83903","209905","64","4834","510","5673","247","2132","80","6086","191","1006","4497","59","2170","4584","1740","39","41","1293","4609","489","1670","976"
